# ----------------------------------------
# HHS Agency Profile
# Pages
# 20170106-20170205
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
search.cdc.gov/search?utf8=✓&affiliate=cdc-main,"1,455,272","1,262,571",00:01:39,"1,001,836",11.17%,62.62%,$0.00
cdc.gov/index.html,"1,349,041","1,162,431",00:01:29,"974,401",66.16%,62.92%,$0.00
cdc.gov/std/widgets/widget-3b.html,"490,729","454,692",00:05:25,"454,019",92.77%,91.91%,$0.00
cdc.gov/healthyweight/assessing/bmi/adult_bmi/english_bmi_calculator/bmi_calculator.html,"451,610","283,142",00:02:25,"232,762",60.49%,51.56%,$0.00
nccd.cdc.gov/dnpabmi/calculator.aspx,"432,573","221,707",00:01:12,"184,371",20.70%,17.81%,$0.00
cdc.gov/norovirus/index.html,"388,116","326,234",00:00:52,"309,997",36.33%,40.07%,$0.00
cdc.gov/zika/geo/index.html,"355,460","262,627",00:00:38,"168,305",13.24%,17.72%,$0.00
cdc.gov/zika/geo/active-countries.html,"307,578","232,101",00:02:10,"47,989",56.90%,46.48%,$0.00
cdc.gov/std/herpes/stdfact-herpes.htm,"306,895","279,449",00:04:44,"255,849",83.00%,80.01%,$0.00
cdc.gov/norovirus/about/symptoms.html,"297,757","257,725",00:01:24,"110,609",69.93%,49.68%,$0.00
cdc.gov/std/hpv/stdfact-hpv.htm,"288,430","261,965",00:04:57,"237,501",79.92%,77.20%,$0.00
cdc.gov/std/chlamydia/stdfact-chlamydia.htm,"277,248","254,356",00:04:24,"224,878",80.63%,76.49%,$0.00
cdc.gov/zika/index.html,"231,762","179,804",00:00:47,"142,428",17.89%,20.05%,$0.00
cdc.gov/norovirus/about/index.html,"226,241","172,432",00:00:14,"17,016",32.80%,11.13%,$0.00
cdc.gov/flu/about/disease/complications.htm,"217,151","196,953",00:02:26,"156,128",72.86%,66.31%,$0.00
cdc.gov/flu/about/season/flu-season-2016-2017.htm,"210,167","186,085",00:02:46,"136,810",64.04%,58.58%,$0.00
cdc.gov/vaccines/hcp/vis/current-vis.html,"196,888","107,357",00:00:27,"40,180",26.77%,13.83%,$0.00
cdc.gov/nchs/w2w/index.htm,"194,267","148,479",00:00:26,"138,757",17.09%,23.28%,$0.00
