# ----------------------------------------
# HHS Agency Profile
# Pages
# 20170107-20170206
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
search.cdc.gov/search?utf8=✓&affiliate=cdc-main,"1,480,998","1,285,422",00:01:39,"1,020,252",11.17%,62.85%,$0.00
cdc.gov/index.html,"1,373,368","1,183,122",00:01:29,"991,856",66.22%,62.93%,$0.00
cdc.gov/std/widgets/widget-3b.html,"496,629","460,062",00:05:26,"459,387",92.76%,91.88%,$0.00
cdc.gov/healthyweight/assessing/bmi/adult_bmi/english_bmi_calculator/bmi_calculator.html,"452,490","283,406",00:02:26,"232,700",60.50%,51.50%,$0.00
nccd.cdc.gov/dnpabmi/calculator.aspx,"436,118","223,578",00:01:12,"185,743",20.67%,17.78%,$0.00
cdc.gov/norovirus/index.html,"395,611","332,614",00:00:52,"316,108",36.32%,40.07%,$0.00
cdc.gov/zika/geo/index.html,"355,543","262,811",00:00:38,"168,380",13.28%,17.78%,$0.00
cdc.gov/std/herpes/stdfact-herpes.htm,"307,491","279,979",00:04:44,"256,496",82.98%,80.00%,$0.00
cdc.gov/zika/geo/active-countries.html,"307,312","232,016",00:02:10,"47,909",56.83%,46.43%,$0.00
cdc.gov/norovirus/about/symptoms.html,"305,569","264,452",00:01:24,"113,507",70.03%,49.76%,$0.00
cdc.gov/std/hpv/stdfact-hpv.htm,"289,659","262,987",00:04:57,"238,473",79.86%,77.14%,$0.00
cdc.gov/std/chlamydia/stdfact-chlamydia.htm,"277,786","254,816",00:04:23,"225,403",80.61%,76.49%,$0.00
cdc.gov/zika/index.html,"233,299","181,085",00:00:47,"143,322",17.87%,20.01%,$0.00
cdc.gov/norovirus/about/index.html,"231,667","176,464",00:00:14,"17,746",32.25%,11.14%,$0.00
cdc.gov/flu/about/disease/complications.htm,"221,237","200,673",00:02:26,"159,436",72.84%,66.31%,$0.00
cdc.gov/flu/about/season/flu-season-2016-2017.htm,"212,191","187,838",00:02:46,"138,075",64.05%,58.61%,$0.00
cdc.gov/vaccines/hcp/vis/current-vis.html,"197,777","107,768",00:00:28,"40,461",26.68%,13.85%,$0.00
cdc.gov/nchs/w2w/index.htm,"196,517","150,192",00:00:26,"140,310",17.07%,23.25%,$0.00
cdc.gov/flu/weekly/usmap.htm,"184,875","157,171",00:01:27,"115,849",60.45%,55.12%,$0.00
cdc.gov/vaccines/schedules/hcp/imz/child-adolescent.html,"166,332","147,539",00:03:28,"104,506",77.65%,71.29%,$0.00
cdc.gov/std/gonorrhea/stdfact-gonorrhea.htm,"160,906","146,905",00:03:54,"120,636",77.23%,71.81%,$0.00
cdc.gov/std/trichomonas/stdfact-trichomoniasis.htm,"155,927","143,214",00:05:24,"131,196",85.08%,82.31%,$0.00
cdc.gov/flu/takingcare.htm,"150,933","137,642",00:03:02,"115,908",79.22%,74.92%,$0.00
cdc.gov/flu/weekly/index.html,"150,152","133,136",00:03:41,"92,470",60.32%,64.98%,$0.00
cdc.gov/vaccines/index.html,"147,497","115,924",00:00:42,"61,169",39.96%,30.25%,$0.00
