"","page","geostate","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","New York (United States)",39006,"",""
"2","Areas with Zika | Zika virus | CDC","Ontario (Canada)",27772,"",""
"3","Areas with Zika | Zika virus | CDC","California (United States)",25678,"",""
"4","Areas with Zika | Zika virus | CDC","Illinois (United States)",16911,"",""
"5","Areas with Zika | Zika virus | CDC","New Jersey (United States)",14243,"",""
"6","Areas with Zika | Zika virus | CDC","Texas (United States)",11932,"",""
"7","Areas with Zika | Zika virus | CDC","Massachusetts (United States)",11352,"",""
"8","Areas with Zika | Zika virus | CDC","Pennsylvania (United States)",10193,"",""
"9","Areas with Zika | Zika virus | CDC","Florida (United States)",9006,"",""
"10","Areas with Zika | Zika virus | CDC","Virginia (United States)",7432,"",""
"11","Areas with Zika | Zika virus | CDC","Michigan (United States)",7307,"",""
"12","Areas with Zika | Zika virus | CDC","Minnesota (United States)",7158,"",""
"13","Areas with Zika | Zika virus | CDC","Maryland (United States)",7149,"",""
"14","Areas with Zika | Zika virus | CDC","Ohio (United States)",6908,"",""
"15","Areas with Zika | Zika virus | CDC","Quebec (Canada)",6634,"",""
"16","Areas with Zika | Zika virus | CDC","Alberta (Canada)",6024,"",""
"17","Areas with Zika | Zika virus | CDC","Washington (United States)",5903,"",""
"18","Areas with Zika | Zika virus | CDC","Georgia (United States)",5882,"",""
"19","Areas with Zika | Zika virus | CDC","British Columbia (Canada)",5712,"",""
"20","Areas with Zika | Zika virus | CDC","Colorado (United States)",5318,"",""
"21","Areas with Zika | Zika virus | CDC","Wisconsin (United States)",5138,"",""
"22","Areas with Zika | Zika virus | CDC","North Carolina (United States)",5056,"",""
"23","Areas with Zika | Zika virus | CDC","Connecticut (United States)",4397,"",""
"24","Areas with Zika | Zika virus | CDC","Missouri (United States)",3532,"",""
"25","Areas with Zika | Zika virus | CDC","Indiana (United States)",3382,"",""
"26","Areas with Zika | Zika virus | CDC","District of Columbia (United States)",3096,"",""
"27","Areas with Zika | Zika virus | CDC","Arizona (United States)",2660,"",""
"28","Areas with Zika | Zika virus | CDC","Tennessee (United States)",2309,"",""
"29","Areas with Zika | Zika virus | CDC","Iowa (United States)",2199,"",""
"30","Areas with Zika | Zika virus | CDC","Utah (United States)",2151,"",""
"31","Areas with Zika | Zika virus | CDC","London (United Kingdom)",2038,"",""
"32","Areas with Zika | Zika virus | CDC","Oregon (United States)",1938,"",""
"33","Areas with Zika | Zika virus | CDC","South Carolina (United States)",1452,"",""
