"","page","mobiledevicename","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","::unspecified::",189816,"",""
"2","Areas with Zika | Zika virus | CDC","Apple iPhone",101731,"",""
"3","Areas with Zika | Zika virus | CDC","Apple iPad",19134,"",""
"4","Areas with Zika | Zika virus | CDC","Verizon Galaxy S7 (SM-G930V)",2029,"",""
"5","Areas with Zika | Zika virus | CDC","Verizon Galaxy S6 (SM-G920V)",1712,"",""
"6","Areas with Zika | Zika virus | CDC","Verizon Galaxy S5 (SM-G900V)",1389,"",""
"7","Areas with Zika | Zika virus | CDC","Samsung Galaxy S6 (SM-G920W8)",1297,"",""
"8","Areas with Zika | Zika virus | CDC","Samsung Galaxy S6 (SM-G920F)",1063,"",""
"9","Areas with Zika | Zika virus | CDC","Samsung Galaxy S7 (SM-G930W8)",1038,"",""
"10","Areas with Zika | Zika virus | CDC","Verizon Galaxy S7 edge (SM-G935V)",1012,"",""
"11","Areas with Zika | Zika virus | CDC","Orange Galaxy S7 (SM-G930F)",951,"",""
"12","Areas with Zika | Zika virus | CDC","Samsung Galaxy S7 Edge (SM-G935F)",837,"",""
"13","Areas with Zika | Zika virus | CDC","Google Pixel",835,"",""
"14","Areas with Zika | Zika virus | CDC","Google Nexus 5X (H790)",818,"",""
"15","Areas with Zika | Zika virus | CDC","Google Nexus 6P",695,"",""
"16","Areas with Zika | Zika virus | CDC","Samsung Galaxy S5 (SM-G900W8)",664,"",""
"17","Areas with Zika | Zika virus | CDC","AT&T Galaxy S7 (SM-G930A)",600,"",""
"18","Areas with Zika | Zika virus | CDC","Samsung Galaxy S5 (SM-G900F)",591,"",""
"19","Areas with Zika | Zika virus | CDC","Verizon Galaxy Note 5 (SM-N920V)",569,"",""
"20","Areas with Zika | Zika virus | CDC","Sprint Galaxy S7 (SM-G930P)",527,"",""
"21","Areas with Zika | Zika virus | CDC","T-Mobile Galaxy S7 (SM-G930T)",517,"",""
"22","Areas with Zika | Zika virus | CDC","Verizon Droid Turbo 2 (XT1585)",511,"",""
"23","Areas with Zika | Zika virus | CDC","Sprint Galaxy S6 (SM-G920P)",510,"",""
"24","Areas with Zika | Zika virus | CDC","Samsung Galaxy S7 Edge (SM-G935W8)",502,"",""
"25","Areas with Zika | Zika virus | CDC","Samsung Galaxy S6 Edge (SM-G925F)",501,"",""
"26","Areas with Zika | Zika virus | CDC","Unknown Event (Generic Android Mobile)",478,"",""
"27","Areas with Zika | Zika virus | CDC","Google Nexus 5 (D820)",464,"",""
"28","Areas with Zika | Zika virus | CDC","AT&T Galaxy S6 (SM-G920A)",464,"",""
"29","Areas with Zika | Zika virus | CDC","AT&T Galaxy S5 (SM-G900A)",456,"",""
"30","Areas with Zika | Zika virus | CDC","Motorola Droid Turbo (XT1254)",441,"",""
"31","Areas with Zika | Zika virus | CDC","AT&T Galaxy S7 edge (SM-G935A)",405,"",""
