"","page","pathlength","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","1",112064,"",""
"2","Areas with Zika | Zika virus | CDC","2",49667,"",""
"3","Areas with Zika | Zika virus | CDC","3",36689,"",""
"4","Areas with Zika | Zika virus | CDC","4",25465,"",""
"5","Areas with Zika | Zika virus | CDC","5",24394,"",""
"6","Areas with Zika | Zika virus | CDC","6",17523,"",""
"7","Areas with Zika | Zika virus | CDC","7",16593,"",""
"8","Areas with Zika | Zika virus | CDC","8",12241,"",""
"9","Areas with Zika | Zika virus | CDC","9",11008,"",""
"10","Areas with Zika | Zika virus | CDC","10",8314,"",""
"11","Areas with Zika | Zika virus | CDC","11",7463,"",""
"12","Areas with Zika | Zika virus | CDC","12",5690,"",""
"13","Areas with Zika | Zika virus | CDC","13",5068,"",""
"14","Areas with Zika | Zika virus | CDC","14",3790,"",""
"15","Areas with Zika | Zika virus | CDC","15",3670,"",""
"16","Areas with Zika | Zika virus | CDC","16",2742,"",""
"17","Areas with Zika | Zika virus | CDC","17",2371,"",""
"18","Areas with Zika | Zika virus | CDC","18",1863,"",""
"19","Areas with Zika | Zika virus | CDC","19",1712,"",""
"20","Areas with Zika | Zika virus | CDC","20",1356,"",""
"21","Areas with Zika | Zika virus | CDC","21",1325,"",""
"22","Areas with Zika | Zika virus | CDC","23",987,"",""
"23","Areas with Zika | Zika virus | CDC","22",979,"",""
"24","Areas with Zika | Zika virus | CDC","24",782,"",""
"25","Areas with Zika | Zika virus | CDC","25",779,"",""
"26","Areas with Zika | Zika virus | CDC","26",544,"",""
"27","Areas with Zika | Zika virus | CDC","27",540,"",""
"28","Areas with Zika | Zika virus | CDC","28",454,"",""
"29","Areas with Zika | Zika virus | CDC","29",365,"",""
"30","Areas with Zika | Zika virus | CDC","30",345,"",""
"31","Areas with Zika | Zika virus | CDC","32",274,"",""
"32","Areas with Zika | Zika virus | CDC","31",266,"",""
"33","Areas with Zika | Zika virus | CDC","33",254,"",""
"34","Areas with Zika | Zika virus | CDC","35",230,"",""
"35","Areas with Zika | Zika virus | CDC","37",194,"",""
"36","Areas with Zika | Zika virus | CDC","34",173,"",""
"37","Areas with Zika | Zika virus | CDC","36",167,"",""
"38","Areas with Zika | Zika virus | CDC","38",151,"",""
"39","Areas with Zika | Zika virus | CDC","41",135,"",""
"40","Areas with Zika | Zika virus | CDC","39",113,"",""
"41","Areas with Zika | Zika virus | CDC","40",111,"",""
"42","Areas with Zika | Zika virus | CDC","42",92,"",""
"43","Areas with Zika | Zika virus | CDC","45",84,"",""
"44","Areas with Zika | Zika virus | CDC","44",84,"",""
"45","Areas with Zika | Zika virus | CDC","47",81,"",""
"46","Areas with Zika | Zika virus | CDC","43",74,"",""
