"","page","searchengine","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","Google",160669,"",""
"2","Areas with Zika | Zika virus | CDC","::unspecified::",100907,"",""
"3","Areas with Zika | Zika virus | CDC","Google - Canada",37600,"",""
"4","Areas with Zika | Zika virus | CDC","Google - United Kingdom",20355,"",""
"5","Areas with Zika | Zika virus | CDC","Microsoft Bing",8255,"",""
"6","Areas with Zika | Zika virus | CDC","Yahoo!",5097,"",""
"7","Areas with Zika | Zika virus | CDC","Google Search App",3520,"",""
"8","Areas with Zika | Zika virus | CDC","Google - Australia",2014,"",""
"9","Areas with Zika | Zika virus | CDC","Google - Germany",1919,"",""
"10","Areas with Zika | Zika virus | CDC","Google - Ireland",1297,"",""
"11","Areas with Zika | Zika virus | CDC","Google - Sweden",1221,"",""
"12","Areas with Zika | Zika virus | CDC","Google - Netherlands",1099,"",""
"13","Areas with Zika | Zika virus | CDC","Google - Switzerland",1088,"",""
"14","Areas with Zika | Zika virus | CDC","Google - Norway",762,"",""
"15","Areas with Zika | Zika virus | CDC","Google - Finland",715,"",""
"16","Areas with Zika | Zika virus | CDC","Google - France",699,"",""
"17","Areas with Zika | Zika virus | CDC","Google - Belgium",641,"",""
"18","Areas with Zika | Zika virus | CDC","Google - New Zealand",602,"",""
"19","Areas with Zika | Zika virus | CDC","Google - Mexico",584,"",""
"20","Areas with Zika | Zika virus | CDC","Google - Hong Kong",542,"",""
"21","Areas with Zika | Zika virus | CDC","Google - Denmark",529,"",""
"22","Areas with Zika | Zika virus | CDC","Google - Italy",489,"",""
"23","Areas with Zika | Zika virus | CDC","Google - India",477,"",""
"24","Areas with Zika | Zika virus | CDC","Google - Israel",442,"",""
"25","Areas with Zika | Zika virus | CDC","Google - Poland",368,"",""
"26","Areas with Zika | Zika virus | CDC","Google - Spain",365,"",""
"27","Areas with Zika | Zika virus | CDC","DuckDuckGo",326,"",""
"28","Areas with Zika | Zika virus | CDC","Google - Thailand",314,"",""
"29","Areas with Zika | Zika virus | CDC","Google - Portugal",285,"",""
"30","Areas with Zika | Zika virus | CDC","Google - Brasil",278,"",""
"31","Areas with Zika | Zika virus | CDC","Google - Czech Republic",267,"",""
"32","Areas with Zika | Zika virus | CDC","Google - Austria",261,"",""
"33","Areas with Zika | Zika virus | CDC","Google - Romania",253,"",""
"34","Areas with Zika | Zika virus | CDC","Google - South Africa",252,"",""
"35","Areas with Zika | Zika virus | CDC","Google - Philippines",249,"",""
"36","Areas with Zika | Zika virus | CDC","Google - Chile",239,"",""
"37","Areas with Zika | Zika virus | CDC","Google - Japan",236,"",""
"38","Areas with Zika | Zika virus | CDC","Google - Singapore",231,"",""
"39","Areas with Zika | Zika virus | CDC","Google - United Arab Emirates",227,"",""
"40","Areas with Zika | Zika virus | CDC","Google - Argentina",212,"",""
"41","Areas with Zika | Zika virus | CDC","MyWay.com",204,"",""
"42","Areas with Zika | Zika virus | CDC","Google - Korea",191,"",""
"43","Areas with Zika | Zika virus | CDC","Google - Puerto Rico",186,"",""
"44","Areas with Zika | Zika virus | CDC","Google - Hungary",185,"",""
"45","Areas with Zika | Zika virus | CDC","Google - Slovenia",179,"",""
"46","Areas with Zika | Zika virus | CDC","Google - Turkey",155,"",""
"47","Areas with Zika | Zika virus | CDC","AOL.com Search",142,"",""
"48","Areas with Zika | Zika virus | CDC","Google - Estonia",135,"",""
"49","Areas with Zika | Zika virus | CDC","Ask Jeeves",133,"",""
"50","Areas with Zika | Zika virus | CDC","Google - Greece",128,"",""
"51","Areas with Zika | Zika virus | CDC","Google - Taiwan",124,"",""
"52","Areas with Zika | Zika virus | CDC","Google - Slovakia",122,"",""
"53","Areas with Zika | Zika virus | CDC","Google - Indonesia",102,"",""
"54","Areas with Zika | Zika virus | CDC","Google - Colombia",82,"",""
"55","Areas with Zika | Zika virus | CDC","Google - Russia",74,"",""
"56","Areas with Zika | Zika virus | CDC","Google - Viet Nam",72,"",""
"57","Areas with Zika | Zika virus | CDC","Google - Latvia",71,"",""
"58","Areas with Zika | Zika virus | CDC","Google - Dominican Republic",69,"",""
"59","Areas with Zika | Zika virus | CDC","Google - Lithuania",66,"",""
"60","Areas with Zika | Zika virus | CDC","Google - Nigeria",59,"",""
"61","Areas with Zika | Zika virus | CDC","Google - Egypt",58,"",""
"62","Areas with Zika | Zika virus | CDC","Google - Jamaica",55,"",""
"63","Areas with Zika | Zika virus | CDC","Google - Cyprus",52,"",""
"64","Areas with Zika | Zika virus | CDC","Google - Saudi Arabia",51,"",""
"65","Areas with Zika | Zika virus | CDC","Google - Bulgaria",51,"",""
"66","Areas with Zika | Zika virus | CDC","Google - Island",49,"",""
"67","Areas with Zika | Zika virus | CDC","Google - Peru",46,"",""
"68","Areas with Zika | Zika virus | CDC","Google - Jersey",46,"",""
"69","Areas with Zika | Zika virus | CDC","Google - Pakistan",45,"",""
"70","Areas with Zika | Zika virus | CDC","Google - Croatia",44,"",""
"71","Areas with Zika | Zika virus | CDC","Google - Malta",44,"",""
"72","Areas with Zika | Zika virus | CDC","Google - Ukraine",43,"",""
"73","Areas with Zika | Zika virus | CDC","Google - Sri Lanka",41,"",""
"74","Areas with Zika | Zika virus | CDC","Google - Trinidad and Tobago",34,"",""
"75","Areas with Zika | Zika virus | CDC","Google - The Bahamas",33,"",""
"76","Areas with Zika | Zika virus | CDC","Yahoo! - Canada",33,"",""
"77","Areas with Zika | Zika virus | CDC","Google - Luxembourg",32,"",""
"78","Areas with Zika | Zika virus | CDC","Google - Ecuador",30,"",""
"79","Areas with Zika | Zika virus | CDC","Google - Ghana",27,"",""
"80","Areas with Zika | Zika virus | CDC","Google - Lebanon",26,"",""
"81","Areas with Zika | Zika virus | CDC","Google - Uruguay",26,"",""
"82","Areas with Zika | Zika virus | CDC","Google - Myanmar",25,"",""
"83","Areas with Zika | Zika virus | CDC","Google - Serbia",23,"",""
"84","Areas with Zika | Zika virus | CDC","Google - American Samoa",23,"",""
"85","Areas with Zika | Zika virus | CDC","Google - Belize",22,"",""
"86","Areas with Zika | Zika virus | CDC","Google - Maldives",22,"",""
