"","page","searchenginekeyword","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","::empty::",250453,"",""
"2","Areas with Zika | Zika virus | CDC","::unspecified::",100907,"",""
"3","Areas with Zika | Zika virus | CDC","zika virus map",918,"",""
"4","Areas with Zika | Zika virus | CDC","cdc zika",913,"",""
"5","Areas with Zika | Zika virus | CDC","zika virus",761,"",""
"6","Areas with Zika | Zika virus | CDC","zika",480,"",""
"7","Areas with Zika | Zika virus | CDC","cdc",381,"",""
"8","Areas with Zika | Zika virus | CDC","zika map",236,"",""
"9","Areas with Zika | Zika virus | CDC","cdc zika map",185,"",""
"10","Areas with Zika | Zika virus | CDC","zika cdc",163,"",""
"11","Areas with Zika | Zika virus | CDC","zika virus locations",103,"",""
"12","Areas with Zika | Zika virus | CDC","cdc zika virus",87,"",""
"13","Areas with Zika | Zika virus | CDC","where is zika",72,"",""
"14","Areas with Zika | Zika virus | CDC","where is zika virus",69,"",""
"15","Areas with Zika | Zika virus | CDC","zika virus countries",55,"",""
"16","Areas with Zika | Zika virus | CDC","zika affected areas",43,"",""
"17","Areas with Zika | Zika virus | CDC","zika virus cdc",42,"",""
"18","Areas with Zika | Zika virus | CDC","cdc.gov",41,"",""
"19","Areas with Zika | Zika virus | CDC","zika areas",33,"",""
"20","Areas with Zika | Zika virus | CDC","cdc.gov zika",30,"",""
"21","Areas with Zika | Zika virus | CDC","areas with zika",29,"",""
"22","Areas with Zika | Zika virus | CDC","www.cdc.gov",27,"",""
"23","Areas with Zika | Zika virus | CDC","zika zones",27,"",""
"24","Areas with Zika | Zika virus | CDC","zika countries",25,"",""
"25","Areas with Zika | Zika virus | CDC","cdc website",25,"",""
"26","Areas with Zika | Zika virus | CDC","zika in mexico",25,"",""
"27","Areas with Zika | Zika virus | CDC","zika virus symptoms",25,"",""
"28","Areas with Zika | Zika virus | CDC","center for disease control",24,"",""
"29","Areas with Zika | Zika virus | CDC","zika cdc map",22,"",""
"30","Areas with Zika | Zika virus | CDC","zika locations",21,"",""
"31","Areas with Zika | Zika virus | CDC","zika virus 2017",21,"",""
"32","Areas with Zika | Zika virus | CDC","countries affected by zika",20,"",""
"33","Areas with Zika | Zika virus | CDC","https://www.cdc.gov/zika/geo/",19,"",""
"34","Areas with Zika | Zika virus | CDC","cdc zika virus map",18,"",""
"35","Areas with Zika | Zika virus | CDC","zika symptoms",18,"",""
"36","Areas with Zika | Zika virus | CDC","where is the zika virus",17,"",""
"37","Areas with Zika | Zika virus | CDC","countries with zika",16,"",""
"38","Areas with Zika | Zika virus | CDC","zika affected countries",16,"",""
"39","Areas with Zika | Zika virus | CDC","cdc zika travel",15,"",""
"40","Areas with Zika | Zika virus | CDC","zika virus affected areas",15,"",""
"41","Areas with Zika | Zika virus | CDC","where is the zika virus found",15,"",""
"42","Areas with Zika | Zika virus | CDC","zika virus areas",14,"",""
"43","Areas with Zika | Zika virus | CDC","cdc zika list",14,"",""
"44","Areas with Zika | Zika virus | CDC","cdc zika locations",14,"",""
